"AGEGRP","Year","Population","Race","Sex"
"10","1980",661752,"NonWhite","Female"
"11","1980",5015878,"White","Male"
"11","1980",5344217,"White","Female"
"11","1980",532235,"NonWhite","Male"
"11","1980",654347,"NonWhite","Female"
"12","1980",4928406,"White","Male"
"12","1980",5465709,"White","Female"
"12","1980",489976,"NonWhite","Male"
"12","1980",596318,"NonWhite","Female"
"13","1980",4220722,"White","Male"
"13","1980",4857604,"White","Female"
"13","1980",402450,"NonWhite","Male"
"13","1980",505569,"NonWhite","Female"
"14","1980",3517015,"White","Male"
"14","1980",4375181,"White","Female"
"14","1980",345497,"NonWhite","Male"
"14","1980",462155,"NonWhite","Female"
"15","1980",2578049,"White","Male"
"15","1980",3575071,"White","Female"
"15","1980",243672,"NonWhite","Male"
"15","1980",341151,"NonWhite","Female"
"16","1980",3220808,"White","Male"
"16","1980",5896118,"White","Female"
"16","1980",292562,"NonWhite","Male"
"16","1980",482028,"NonWhite","Female"
"1","1990",7674840,"White","Male"
"1","1990",7285286,"White","Female"
"1","1990",1598438,"NonWhite","Male"
"1","1990",1561397,"NonWhite","Female"
"2","1990",7444026,"White","Male"
"2","1990",7058274,"White","Female"
"2","1990",1477801,"NonWhite","Male"
"2","1990",1442960,"NonWhite","Female"
"3","1990",7022591,"White","Male"
"3","1990",6647468,"White","Female"
"3","1990",1428485,"NonWhite","Male"
"3","1990",1397713,"NonWhite","Female"
"4","1990",7379551,"White","Male"
"4","1990",6971165,"White","Female"
"4","1990",1469147,"NonWhite","Male"
"4","1990",1436032,"NonWhite","Female"
"5","1990",8009507,"White","Male"
"5","1990",7627737,"White","Female"
"5","1990",1391783,"NonWhite","Male"
"5","1990",1442030,"NonWhite","Female"
"6","1990",8926907,"White","Male"
"6","1990",8711431,"White","Female"
"6","1990",1417097,"NonWhite","Male"
"6","1990",1550452,"NonWhite","Female"
"7","1990",9144433,"White","Male"
"7","1990",9045345,"White","Female"
"7","1990",1358164,"NonWhite","Male"
"7","1990",1540058,"NonWhite","Female"
"8","1990",8342551,"White","Male"
"8","1990",8309266,"White","Female"
"8","1990",1170445,"NonWhite","Male"
"8","1990",1345893,"NonWhite","Female"
"9","1990",7476422,"White","Male"
"9","1990",7524857,"White","Female"
"9","1990",932112,"NonWhite","Male"
"9","1990",1081272,"NonWhite","Female"
"10","1990",5851065,"White","Male"
"10","1990",5974969,"White","Female"
"10","1990",693182,"NonWhite","Male"
"10","1990",819510,"NonWhite","Female"
"11","1990",4773156,"White","Male"
"11","1990",4971303,"White","Female"
"11","1990",568278,"NonWhite","Male"
"11","1990",688027,"NonWhite","Female"
"12","1990",4404374,"White","Male"
"12","1990",4726477,"White","Female"
"12","1990",490272,"NonWhite","Male"
"12","1990",614189,"NonWhite","Female"
"13","1990",4408987,"White","Male"
"13","1990",4971615,"White","Female"
"13","1990",443107,"NonWhite","Male"
"13","1990",581731,"NonWhite","Female"
"14","1990",4047535,"White","Male"
"14","1990",4936443,"White","Female"
"14","1990",380311,"NonWhite","Male"
"14","1990",522757,"NonWhite","Female"
"15","1990",3079801,"White","Male"
"15","1990",4111212,"White","Female"
"15","1990",265726,"NonWhite","Male"
"15","1990",402182,"NonWhite","Female"
"16","1990",4157071,"White","Male"
"16","1990",7688500,"White","Female"
"16","1990",359773,"NonWhite","Male"
"16","1990",677625,"NonWhite","Female"
"1","2000",7518333,"White","Male"
"1","2000",7138252,"White","Female"
"1","2000",2292574,"NonWhite","Male"
"1","2000",2226995,"NonWhite","Female"
"2","2000",8052564,"White","Male"
"2","2000",7635145,"White","Female"
"2","2000",2470915,"NonWhite","Male"
"2","2000",2391231,"NonWhite","Female"
"3","2000",8137785,"White","Male"
"3","2000",7704715,"White","Female"
"3","2000",2382607,"NonWhite","Male"
"3","2000",2303318,"NonWhite","Female"
"4","2000",8124128,"White","Male"
"4","2000",7620729,"White","Female"
"4","2000",2266638,"NonWhite","Male"
"4","2000",2207287,"NonWhite","Female"
"5","2000",7651430,"White","Male"
"5","2000",7174456,"White","Female"
"5","2000",2036076,"NonWhite","Male"
"5","2000",2101002,"NonWhite","Female"
"6","2000",7789718,"White","Male"
"6","2000",7427716,"White","Female"
"6","2000",2009379,"NonWhite","Male"
"6","2000",2154979,"NonWhite","Female"
"7","2000",8325603,"White","Male"
"7","2000",8023216,"White","Female"
"7","2000",1996663,"NonWhite","Male"
"7","2000",2165585,"NonWhite","Female"
"8","2000",9257089,"White","Male"
"8","2000",9114425,"White","Female"
"8","2000",2062121,"NonWhite","Male"
"8","2000",2273755,"NonWhite","Female"
"9","2000",9196313,"White","Male"
"9","2000",9150030,"White","Female"
"9","2000",1933201,"NonWhite","Male"
"9","2000",2162898,"NonWhite","Female"
"10","2000",8268304,"White","Male"
"10","2000",8346554,"White","Female"
"10","2000",1621407,"NonWhite","Male"
"10","2000",1856446,"NonWhite","Female"
"11","2000",7314657,"White","Male"
"11","2000",7478966,"White","Female"
"11","2000",1293257,"NonWhite","Male"
"11","2000",1498944,"NonWhite","Female"
"12","2000",5597391,"White","Male"
"12","2000",5881319,"White","Female"
"12","2000",911444,"NonWhite","Male"
"12","2000",1079271,"NonWhite","Female"
"13","2000",4419581,"White","Male"
"13","2000",4794083,"White","Female"
"13","2000",717127,"NonWhite","Male"
"13","2000",874784,"NonWhite","Female"
"14","2000",3842875,"White","Male"
"14","2000",4395519,"White","Female"
"14","2000",557554,"NonWhite","Male"
"14","2000",737703,"NonWhite","Female"
"15","2000",3471737,"White","Male"
"15","2000",4327177,"White","Female"
"15","2000",431232,"NonWhite","Male"
"15","2000",627387,"NonWhite","Female"
"16","2000",5510620,"White","Male"
"16","2000",9416068,"White","Female"
"16","2000",595805,"NonWhite","Male"
"16","2000",1078517,"NonWhite","Female"
"1","2010",7521423,"White","Male"
"1","2010",7169084,"White","Female"
"1","2010",2798004,"NonWhite","Male"
"1","2010",2712851,"NonWhite","Female"
"2","2010",7705715,"White","Male"
"2","2010",7338075,"White","Female"
"2","2010",2683923,"NonWhite","Male"
"2","2010",2620944,"NonWhite","Female"
"3","2010",7901832,"White","Male"
"3","2010",7497140,"White","Female"
"3","2010",2678030,"NonWhite","Male"
"3","2010",2600192,"NonWhite","Female"
"4","2010",8408391,"White","Male"
"4","2010",7937864,"White","Female"
"4","2010",2895275,"NonWhite","Male"
"4","2010",2798813,"NonWhite","Female"
"5","2010",8350986,"White","Male"
"5","2010",7894693,"White","Female"
"5","2010",2663190,"NonWhite","Male"
"5","2010",2677130,"NonWhite","Female"
"6","2010",8202631,"White","Male"
"6","2010",7857872,"White","Female"
"6","2010",2432960,"NonWhite","Male"
"6","2010",2608386,"NonWhite","Female"
"7","2010",7722466,"White","Male"
"7","2010",7461564,"White","Female"
"7","2010",2274034,"NonWhite","Male"
"7","2010",2504035,"NonWhite","Female"
"8","2010",7813703,"White","Male"
"8","2010",7659196,"White","Female"
"8","2010",2228319,"NonWhite","Male"
"8","2010",2478424,"NonWhite","Female"
"9","2010",8234026,"White","Male"
"9","2010",8107290,"White","Female"
"9","2010",2159951,"NonWhite","Male"
"9","2010",2389697,"NonWhite","Female"
"10","2010",9030996,"White","Male"
"10","2010",9071931,"White","Female"
"10","2010",2178089,"NonWhite","Male"
"10","2010",2427575,"NonWhite","Female"
"11","2010",8921642,"White","Male"
"11","2010",9086671,"White","Female"
